R2,cosTBTO
0.20342499017715454,0.1772322803735733
0.059064947068691254,0.12615925073623657
0.1611841320991516,0.7359974980354309
0.06338057667016983,0.05368954315781593
0.28508493304252625,0.9558417797088623
0.2665528357028961,0.6344872117042542
0.04392750933766365,0.29354003071784973
0.2834051251411438,0.7507230639457703
0.14906300604343414,0.2921631336212158
0.13555695116519928,0.8700650930404663
0.08970694243907928,0.37205877900123596
0.18815487623214722,0.18724602460861206
0.10913681238889694,0.336116224527359
0.11131787300109863,0.3210262954235077
0.13297531008720398,0.6639522314071655
0.14449064433574677,0.00573683949187398
0.114556223154068,0.8139974474906921
0.3546561896800995,0.8205224275588989
0.18285682797431946,0.8889567255973816
0.17612050473690033,0.5347375273704529
0.09312430024147034,0.784620463848114
0.17087294161319733,0.31673434376716614
0.16400277614593506,0.65052330493927
0.10499629378318787,0.7144187092781067
0.1186232641339302,0.9659345149993896
0.08782799541950226,0.2888159453868866
0.13354626297950745,0.8271954655647278
0.12917223572731018,0.7425545454025269
0.013957574963569641,0.16773676872253418
0.21909891068935394,0.5076017379760742
0.09733430296182632,0.16821669042110443
0.0979027971625328,0.3903746008872986
0.10548798739910126,0.6870237588882446
0.1676085740327835,0.8886758089065552
0.053126052021980286,0.3754492402076721
0.13807807862758636,0.8456056118011475
0.10347947478294373,0.7672250270843506
0.11218812316656113,0.3827904462814331
0.15937581658363342,0.0771883949637413
0.04548408463597298,0.3886648416519165
0.07824748754501343,0.21181811392307281
0.26186665892601013,0.48533734679222107
0.1275426149368286,0.4885878562927246
0.12360971421003342,0.1257701814174652
0.141728475689888,0.3890323042869568
0.23259271681308746,0.5967236757278442
0.18936684727668762,0.7482876777648926
0.21345828473567963,0.02854890748858452
0.0881575345993042,0.5085949897766113
0.10691557079553604,0.037802956998348236
0.3964943587779999,0.955994725227356
0.26086992025375366,0.6472184062004089
0.2931317985057831,0.6427180767059326
0.11732277274131775,0.3475354313850403
0.1886099874973297,0.9824120998382568
0.14313726127147675,0.2570759952068329
0.2489841878414154,0.9938111305236816
0.08673369884490967,0.3052631616592407
0.05866626650094986,0.06281974166631699
0.1747237741947174,0.344105988740921
0.25454771518707275,0.8363131284713745
0.18696235120296478,0.40736567974090576
0.07570472359657288,0.21639813482761383
0.0877276137471199,0.354000061750412
0.20973338186740875,0.69881272315979
0.14615954458713531,0.7175345420837402
0.20229113101959229,0.38516414165496826
0.11571504175662994,0.7622792720794678
0.07916859537363052,0.4872339367866516
0.09312167763710022,0.49280062317848206
0.17174573242664337,0.9641242623329163
0.164587140083313,0.07862070202827454
